,Normalized 0,Normalized 1,Normalized 2,Normalized 3,Normalized 4,Normalized 5,Normalized 6,Normalized 7,Normalized 8,Normalized 9,Normalized 10,Normalized 11,Normalized 12,Normalized 13,Normalized 14,Normalized 15,Normalized 16,Normalized 17,Normalized 18,Normalized 19,Normalized 20,Normalized 21,Normalized 22,Normalized 23,Normalized 24,Normalized 25,Normalized 26,Normalized 27,Normalized 28,Normalized 29,Normalized 30,Normalized 31,Normalized 32,Normalized 33,Normalized 34,Normalized 35,Normalized 36,Normalized 37,Normalized 38,Normalized 39,Normalized 40,Normalized 41,Normalized 42,Normalized 43,Normalized 44,Normalized 45,Normalized 46,Normalized 47,Normalized 48,Normalized 49,Normalized 50,Normalized 51,Cluster Number
0,0.44,0.5,0.39,0.28,0.56,0.5,0.61,1.0,0.17,0.61,0.44,0.61,0.72,0.33,0.33,0.33,0.61,0.33,0.0,0.5,0.11,0.44,0.22,0.5,0.11,0.33,0.22,0.39,0.11,0.44,0.22,0.39,0.5,0.17,0.11,0.61,0.39,0.33,0.5,0.78,0.22,0.44,0.06,0.22,0.28,0.39,0.5,0.0,0.22,0.17,0.11,0.39,7
1,0.7,0.6,0.3,0.2,0.7,0.1,0.6,0.3,0.3,0.3,0.2,0.2,0.6,0.2,0.0,0.6,0.2,0.7,0.7,0.9,0.4,0.7,0.2,0.4,0.5,0.3,0.5,0.8,0.5,0.5,0.3,0.1,0.3,0.2,0.3,1.0,0.5,0.2,0.7,0.3,0.2,0.5,0.2,0.4,0.5,0.1,0.1,0.4,0.5,0.1,0.6,0.0,7
2,0.36,0.73,0.45,0.55,0.64,0.45,0.36,0.91,0.82,0.27,1.0,0.55,0.09,0.36,0.82,0.45,0.36,0.73,0.64,0.36,0.36,0.91,0.73,0.45,0.64,0.45,1.0,0.18,0.0,0.91,0.73,0.55,0.36,0.45,0.36,0.55,0.27,0.82,0.82,0.55,0.0,0.18,0.27,1.0,0.18,0.18,0.36,0.45,1.0,0.45,0.45,0.36,4
3,0.59,0.35,0.65,0.18,0.41,0.24,0.41,0.65,0.65,0.53,0.35,0.12,0.18,0.12,0.76,0.29,0.53,0.41,0.76,0.12,0.24,0.29,0.53,0.29,0.41,0.24,0.47,0.47,0.0,0.24,0.29,0.0,0.18,0.59,0.18,1.0,0.35,0.24,0.35,0.35,0.59,0.24,0.41,0.47,0.06,0.12,0.24,0.35,0.71,0.35,0.29,0.35,7
4,0.33,0.13,0.67,0.53,0.2,0.27,0.4,0.73,0.4,0.4,0.53,1.0,0.33,0.07,0.67,0.33,0.47,0.8,0.2,0.67,0.53,0.2,0.47,0.4,0.33,0.6,0.33,0.4,0.67,0.0,0.13,0.0,0.13,0.13,0.4,0.27,0.07,0.33,0.33,0.13,0.13,0.33,0.27,0.53,0.27,0.6,0.2,0.2,0.13,0.53,0.33,0.4,7
5,0.27,0.27,0.18,0.64,0.55,0.27,0.73,0.55,0.55,0.27,0.09,0.09,0.45,0.36,0.27,0.45,0.27,0.45,0.91,0.73,0.36,0.82,0.64,0.45,0.36,0.18,0.09,0.27,0.18,0.36,0.0,0.27,0.18,1.0,0.18,0.09,0.36,0.36,0.27,0.18,0.45,0.36,0.36,0.18,0.36,0.27,0.55,0.45,0.27,0.27,0.91,0.55,6
6,0.4,0.8,0.3,0.7,0.8,0.7,0.2,0.3,1.0,0.3,0.5,0.2,0.3,0.4,0.5,0.3,0.7,1.0,0.0,0.3,0.7,0.5,0.1,0.5,0.7,0.5,0.2,0.4,0.3,0.1,0.3,0.2,0.2,0.4,0.2,0.6,0.4,0.5,0.1,0.3,0.5,0.8,0.2,0.3,0.3,0.6,0.2,0.6,0.2,0.4,0.2,0.1,7
7,0.42,0.25,0.58,0.5,0.25,0.42,0.33,0.17,0.58,0.58,0.42,0.42,1.0,0.5,0.17,0.67,0.58,0.33,0.83,0.5,0.75,0.67,0.17,0.67,0.67,0.75,0.0,0.58,0.75,0.5,0.5,0.58,0.42,0.5,0.42,0.5,1.0,0.25,0.33,0.42,0.0,0.5,0.58,0.92,0.08,0.42,0.42,0.25,0.33,0.08,0.5,0.5,1
8,0.73,0.4,0.47,0.27,0.53,0.8,0.6,0.27,0.67,0.6,0.8,0.8,0.87,0.47,0.4,0.4,0.67,0.33,0.47,1.0,1.0,0.93,0.47,0.87,0.73,0.47,0.07,0.27,0.27,0.47,0.0,0.67,0.4,0.27,0.4,0.33,0.27,0.4,0.8,0.33,0.4,0.33,0.53,0.13,0.67,0.0,0.27,0.27,0.47,0.6,0.27,0.67,1
9,0.54,0.42,0.42,0.83,0.46,0.29,0.71,0.46,0.63,0.46,0.92,0.54,0.58,0.42,0.25,0.42,0.54,0.58,0.46,1.0,0.29,0.58,0.58,0.29,0.67,0.75,0.13,0.25,0.25,0.08,0.21,0.83,0.58,0.13,0.29,0.0,0.58,0.54,0.25,0.38,0.17,0.33,0.21,0.33,0.08,0.63,0.17,0.29,0.38,0.58,0.38,0.46,1
10,0.63,0.13,0.63,0.56,0.75,0.13,0.31,0.69,0.38,0.19,0.19,0.31,0.31,0.44,0.31,0.69,0.5,0.31,0.5,0.5,0.81,0.44,0.63,0.25,0.19,0.0,0.38,0.19,0.25,0.31,0.13,0.44,0.44,0.25,0.69,0.38,0.44,0.31,0.06,0.88,0.06,0.44,0.38,0.69,0.44,0.38,0.5,0.19,0.75,0.31,0.31,1.0,7
11,0.33,0.44,0.11,0.67,0.44,0.33,0.78,0.33,0.56,0.33,0.56,0.67,0.56,0.0,0.44,0.0,0.78,0.11,0.56,0.56,0.33,0.78,0.44,0.44,0.56,0.67,0.44,0.0,0.44,0.44,0.22,0.22,0.44,0.67,0.22,0.56,0.56,0.56,1.0,0.22,0.56,0.44,0.44,0.22,0.44,0.56,0.11,0.33,0.22,0.44,0.67,0.33,1
12,0.63,0.53,0.47,0.32,0.53,0.58,0.95,0.42,0.53,0.89,0.58,0.63,0.58,0.68,0.53,0.42,0.47,0.53,0.47,0.42,0.37,0.26,0.63,0.53,0.53,0.26,0.63,0.37,0.42,0.0,0.58,0.37,0.05,0.79,0.32,0.47,0.42,0.63,0.42,0.21,0.32,0.21,0.21,0.47,0.26,0.42,0.37,1.0,0.74,0.58,0.47,0.26,4
13,0.5,0.41,0.27,0.36,0.45,0.41,0.23,0.41,0.45,0.32,0.32,0.64,0.5,0.5,1.0,0.68,0.45,0.86,0.41,0.82,0.55,0.64,0.36,0.55,0.41,0.64,0.36,0.09,0.18,0.18,0.23,0.27,0.09,0.36,0.27,0.23,0.45,0.41,0.18,0.23,0.41,0.18,0.5,0.14,0.0,0.27,0.55,0.23,0.36,0.45,0.41,0.68,6
14,0.0,0.79,0.85,0.7,0.3,0.76,0.73,0.52,0.18,1.0,0.61,0.7,0.73,0.7,0.73,0.97,0.64,0.76,0.33,0.61,0.61,0.52,0.39,0.61,0.33,0.09,0.18,0.45,0.27,0.3,0.15,0.3,0.18,0.58,0.64,0.52,0.7,0.09,0.42,0.33,0.06,0.36,0.58,0.48,0.42,0.33,0.55,0.33,0.33,0.45,0.58,0.03,4
15,0.25,0.16,0.16,0.66,0.22,0.31,0.84,0.59,0.84,0.5,0.63,0.25,0.66,0.66,1.0,0.81,0.38,0.44,0.69,0.66,0.69,0.19,0.41,0.22,0.66,0.25,0.16,0.25,0.22,0.41,0.63,0.53,0.5,0.5,0.5,0.38,0.31,0.28,0.34,0.31,0.44,0.38,0.56,0.25,0.34,0.53,0.63,0.72,0.28,0.28,0.03,0.0,4
16,0.91,0.66,0.66,0.31,0.66,0.86,0.77,0.8,0.63,0.46,0.63,0.57,0.46,1.0,0.34,0.8,0.49,0.74,0.66,0.94,0.34,0.54,0.43,0.31,0.51,0.37,0.14,0.17,0.09,0.0,0.2,0.26,0.09,0.37,0.31,0.51,0.69,0.34,0.51,0.37,0.66,0.31,0.54,0.4,0.54,0.51,0.74,0.31,0.37,0.37,0.26,0.23,4
17,0.71,0.64,0.68,0.64,0.68,0.46,0.29,0.86,0.57,0.57,0.11,0.64,0.64,0.75,0.82,0.25,0.64,0.39,0.82,0.43,0.54,0.64,1.0,0.64,0.36,0.04,0.0,0.07,0.14,0.11,0.39,0.11,0.46,0.39,0.68,0.36,0.36,0.5,0.39,0.04,0.04,0.68,0.36,0.32,0.32,0.75,0.54,0.07,0.29,0.32,0.32,0.11,4
18,0.24,0.41,0.9,0.59,0.41,0.31,0.31,0.52,0.79,0.72,0.83,0.55,0.38,0.48,0.72,0.9,1.0,0.55,0.38,0.34,0.69,0.76,0.38,0.52,0.31,0.1,0.41,0.34,0.38,0.52,0.24,0.31,0.45,0.41,0.28,0.72,0.48,0.52,0.41,0.0,1.0,0.07,0.41,0.0,0.17,0.45,0.59,0.38,0.48,0.34,0.28,0.34,4
19,0.73,1.0,0.6,0.53,0.33,0.6,1.0,0.4,0.67,0.53,0.4,0.47,0.4,0.53,0.53,0.73,0.6,0.53,0.33,0.4,0.4,0.4,0.47,0.33,0.53,0.4,0.4,0.47,0.4,0.47,0.33,0.33,0.2,0.2,0.13,0.2,0.4,0.4,0.47,0.4,0.47,0.47,0.33,0.4,0.4,0.47,1.0,0.0,0.47,0.27,0.67,0.47,1
20,0.75,0.17,0.5,0.42,0.5,0.25,0.58,0.83,0.25,0.75,0.83,0.58,1.0,0.75,0.42,0.75,0.75,0.5,0.75,0.42,0.5,0.83,0.58,0.33,0.5,0.08,0.67,0.0,0.0,0.0,0.33,0.25,0.5,0.5,0.92,0.58,0.33,0.33,0.33,0.42,0.33,0.42,0.83,0.17,0.42,0.58,0.58,0.67,0.67,0.75,0.17,0.17,4
